,subj
0,sub-CC00167XX11
1,sub-CC00131XX08
2,sub-CC00107XX08
3,sub-CC00174XX10
4,sub-CC00071XX06
5,sub-CC00143BN12
6,sub-CC00120XX05
7,sub-CC00066XX09
8,sub-CC00144XX13
9,sub-CC00070XX05
10,sub-CC00157XX09
11,sub-CC00181XX09
12,sub-CC00165XX09
13,sub-CC00073XX08
14,sub-CC00122XX07
15,sub-CC00158XX10
16,sub-CC00117XX10
17,sub-CC00197XX17
18,sub-CC00202XX04
19,sub-CC00205XX07
20,sub-CC00206XX08
21,sub-CC00207XX09
22,sub-CC00281AN10
23,sub-CC00252XX05
24,sub-CC00295XX16
25,sub-CC00272XX09
26,sub-CC00258XX11
27,sub-CC00260XX05
28,sub-CC00286XX15
29,sub-CC00308XX11
30,sub-CC00302XX05
31,sub-CC00316XX11
32,sub-CC00314XX09
33,sub-CC00338AN17
34,sub-CC00337XX16
35,sub-CC00349XX20
36,sub-CC00367XX13
37,sub-CC00366XX12
38,sub-CC00408XX12
39,sub-CC00376XX14
40,sub-CC00379XX17
41,sub-CC00377XX15
42,sub-CC00412XX08
43,sub-CC00400XX04
44,sub-CC00403XX07
45,sub-CC00397XX19
46,sub-CC00445XX17
47,sub-CC00444XX16
48,sub-CC00421BN09
49,sub-CC00447XX19
50,sub-CC00438XX18
51,sub-CC00514XX11
52,sub-CC00458XX13
53,sub-CC00456XX11
54,sub-CC00466AN13
55,sub-CC00513XX10
56,sub-CC00516XX13
57,sub-CC00500XX05
58,sub-CC00532XX13
59,sub-CC00502XX07
60,sub-CC00620XX10
61,sub-CC00647XX21
62,sub-CC00607XX13
63,sub-CC00719XX18
64,sub-CC00584XX16
65,sub-CC00627XX17
66,sub-CC00695XX20
67,sub-CC00815XX15
68,sub-CC00597XX21
69,sub-CC00843XX19
70,sub-CC00822XX14
71,sub-CC00798XX24
72,sub-CC00853XX12
73,sub-CC00801XX09
74,sub-CC00850XX09
75,sub-CC00670XX11
76,sub-CC00549XX22
77,sub-CC00550XX06
78,sub-CC00544XX17
79,sub-CC00810XX10
80,sub-CC00768XX18
81,sub-CC00552XX08
82,sub-CC00594XX18
